DATE,Global_Energy_Prices,US_Econ_Policy_Uncertainty,World_Econ_Policy_Uncertainty,CPI_US,AMERIBOR,Overnight_AMERIBOR,US_30y_Mortgage,Fed_Funds,SP500,DJIA,Bacon,DEXUSEU,Monetary_Base,Commericial_Paper_Outstanding,WEI,US_Housing_Inventory,Crude_Oil,USDX,JPY/USD,Nikkei225,Russell2000,CBOE_Volatility
2021-03-01,142.1365483,176.7019355,215.2877739,264.91,0.09143758433,0.08774444133,3.0825,0.07,3910.508261,32373.29087,5.852,1.19016087,5839000,1111.903187,3.005,440589,59.16,93.23,0.009065772177,29178.8,2220.52,19.4
2021-04-01,143.1937142,122.4806667,199.4025469,266.752,0.08842141533,0.09084508333,3.06,0.07,4141.17619,33803.28619,6.215,1.196540909,6042100,1203.216294,9.535,435663,63.58,91.28,0.009182399177,28812.63,2266.45,18.61
2021-05-01,154.5574743,129.4448387,190.2845716,268.452,0.09190208194,0.09599622032,2.9625,0.06,4167.8495,34270.3085,6.346,1.21463,6041900,1196.710227,9.684,447662,66.32,89.84,0.009098601545,28860.08,2268.97,16.76
2021-06-01,170.8951411,113.146,178.8375603,270.664,0.09979417533,0.103749724,2.975,0.08,4238.489545,34289.90727,6.67,1.204827273,6027000,1162.668002,8.2575,492425,73.47,92.44,0.009046908219,28791.53,2310.55,15.83
2021-07-01,181.3499161,130.0103226,205.5489963,271.994,0.1100352384,0.1094909994,2.868,0.1,4363.712857,34798.80429,6.857,1.182138095,6130200,1133.593358,7.196,546686,73.95,92.17,0.009118263883,27283.59,2226.25,18.24
2021-08-01,183.8065148,124.1441935,216.4951446,272.789,0.1044157361,0.1016513181,2.8425,0.09,4454.206364,35243.96545,7.096,1.176695455,6328700,1141.704361,6.55,574638,73.95,92.63,0.009095539547,28089.54,2273.77,16.48
2021-09-01,212.8790642,120.2296667,205.3819463,273.887,0.09611566667,0.09298,2.9,0.08,4445.543333,34688.42143,7.22,1.176490476,6388800,1175.120193,6.44,578070,75.03,94.25,0.008933676387,29452.66,2204.37,23.14
2021-10-01,256.4607542,109.6483871,195.2522238,276.434,0.09130741935,0.08871322581,3.0675,0.08,4460.707143,35055.5181,7.317,1.159985,6330900,1179.301188,5.896,565707,83.57,94.12,0.008784644442,28892.69,2297.19,16.26
2021-11-01,235.6833316,135.1526667,228.0486621,278.799,0.09287066667,0.104337,3.0675,0.08,4667.386667,35848.57095,7.265,1.14159,6394700,1125.770698,5.535,512241,66.18,95.99,0.008787037362,27821.76,2198.91,27.19
2021-12-01,239.9910325,137.1274194,266.1673821,280.808,0.1215748387,0.13266,3.098,0.08,4674.772727,35641.33409,7.211,1.130080952,6413100,1088.025366,5.655,445303,75.21,95.67,0.008690891077,28791.71,2245.31,17.22
2022-01-01,241.3773783,145.67,232.0595156,282.39,0.1258487097,0.1218532258,3.445,0.08,4573.8155,35456.145,7.222,1.131675,6103900,1047.366465,4.852,376970,88.15,96.54,0.008675886242,27001.98,2028.45,24.83
2022-02-01,260.0483626,127.9896429,191.8875651,284.535,0.1194828571,0.1157875,3.7625,0.08,4435.980526,34648.48053,7.097,1.134905263,6039900,1021.164404,5.19,346511,95.72,96.71,0.008651641649,26526.82,2048.09,30.15
2022-03-01,331.7837593,186.6145161,330.0724873,287.553,0.1480048387,0.2334474194,4.172,0.2,4391.265217,34029.74043,7.203,1.101852174,6134300,1039.338751,4.465,354016,100.28,98.31,0.008195310643,27821.43,2070.13,20.56
2022-04-01,300.5331779,136.3136667,302.9631994,288.764,0.341602,0.390891,4.9825,0.33,4391.296,34314.99,7.422,1.080295238,5885000,1082.058896,4.246,379978,104.69,102.96,0.007711170401,26847.9,1864.1,33.4
2022-05-01,306.6749792,133.7783871,291.2564361,291.359,0.6210545161,0.8655283871,5.23,0.77,4040.36,32379.46286,7.364,1.056719048,5591300,1117.38508,3.7575,479462,104.69,101.75,0.007825705879,27279.8,1864.04,26.19
2022-06-01,328.1234804,133.4673333,275.2826207,294.996,1.025093929,1.284093929,5.522,1.21,3898.946667,31446.71286,7.403,1.056719048,5506300,1147.018261,3.1325,573650,105.76,104.69,0.007321233774,26393.04,1707.99,28.71
2022-07-01,343.8099974,146.9006452,317.2127153,294.977,1.62652129,1.809574839,5.4125,1.68,3911.7295,31535.3235,7.415,1.016825,5536900,1163.781111,3.112,691652,98.62,105.9,0.007505817008,27801.64,1885.23,21.33
2022-08-01,376.4120826,119.1632258,257.1891873,295.209,2.190479677,2.453951613,5.2225,2.33,4158.563043,33009.56478,7.372,1.012878261,5582000,1186.067467,3,726779,89.55,108.7,0.007208038404,28091.53,1844.12,25.87
2022-09-01,330.1495859,109.556,281.9178216,296.341,2.491992333,2.688090667,6.112,2.56,3850.520476,30649.55952,7.383,0.9898809524,5411100,1216.096583,2.6275,731496,79.49,112.12,0.006923721362,25937.21,1664.72,31.62
2022-10-01,259.8586762,139.83,301.288516,297.863,3.058760968,3.250261935,6.9,3.08,3726.050952,30570.68381,7.608,0.985295,5340300,1271.566469,2.232,752741,86.53,111.53,0.00676535058,27587.46,1846.86,25.88
2022-11-01,256.8597387,147.6546667,332.4660007,298.648,3.603380333,3.966423667,6.805,3.78,3917.488571,33417.9581,7.243,1.01919,5419400,1300.396765,1.815,750200,80.55,105.95,0.007207466936,27968.99,1886.58,20.58
2022-12-01,258.501791,132.4445161,263.5521204,298.812,4.110324194,4.329125484,6.364,4.1,3912.380952,33482.25714,6.956,1.059066667,5406000,1289.97039,1.534,680925,80.26,103.52,0.007627183281,26094.5,1761.25,21.67
2023-01-01,223.272585,186.7664516,247.3706063,300.356,4.557349355,4.620148387,6.2725,4.33,3960.6565,33656.0005,6.808,1.07769,5329000,1299.392295,1.155,616865,80.26,102.1,0.007664068547,27327.11,1931.94,19.4
2023-02-01,201.7183933,120.9703571,243.4146359,301.509,4.733915357,4.859586071,6.2575,4.57,4079.684737,33648.25632,6.595,1.070226316,5321600,1261.157923,1.195,579264,77.05,104.87,0.007335842191,27445.56,1896.99,20.7
2023-03-01,186.0231551,140.2809677,310.6556369,301.744,4.883346129,4.961333226,6.544,4.65,3968.55913,32483.47826,6.613,1.071134783,5571500,1162.400616,1.2125,562444,75.67,102.51,0.007507451145,28041.48,1802.48,18.7
2023-04-01,192.3685227,138.7573333,231.6801126,303.032,5.068083,5.103123,6.3425,4.83,4121.467368,33731.28053,6.549,1.0962,5593100,1147.527209,1.218,562966,76.78,101.67,0.007335680751,28856.44,1768.99,15.78
2023-05-01,169.2259139,190.4554839,228.3454255,303.365,5.190563226,5.266939677,6.425,5.06,4146.173182,33316.80227,6.339,1.086709091,5569600,1133.751816,1.0875,582441,68.09,104.32,0.007153485178,30887.88,1749.65,17.95
2023-06-01,165.8229234,122.3863333,229.7205718,304.003,5.267017333,5.269713667,6.714,5.08,4345.372857,33904.97619,6.224,1.084028571,5608500,1136.984499,1.1625,614326,70.64,102.91,0.006907031358,33189.04,1888.73,17.95
2023-07-01,174.9771808,101.6529032,226.3313776,304.628,5.271936452,5.305945161,6.84,5.12,4508.0755,34777.2,6.236,1.10669,5517800,1168.169332,1.374,647135,81.8,101.86,0.007104391935,33172.22,2003.18,17.95
2023-08-01,188.2219404,97.61935484,211.13869,306.187,5.425453226,5.489018387,7.072,5.33,4457.358696,34880.65696,6.502,1.091,5559100,1170.209224,1.5175,669750,83.63,103.62,0.006844673817,32619.34,1899.68,17.95
2023-09-01,204.5525243,89.22933333,243.8964714,307.288,5.474020333,5.483713333,7.2,5.33,4409.095,34318.891,7.083,1.067175,5567300,1174.80215,1.814,702430,90.79,106.17,0.006694784763,31857.62,1785.1,17.95
2023-10-01,202.8911369,140.11,226.093917,307.531,5.496923548,5.493292581,7.62,5.33,4269.400909,33319.49273,7.223,1.056457143,5601300,1209.484655,1.93,738082,90.79,106.66,0.006706413343,30858.85,1662.28,17.95
2023-11-01,189.8018052,114.5336667,246.8587807,308.024,5.481346333,5.463219667,7.442,5.33,4460.063333,34704.50238,6.899,1.08193,5731500,1246.145627,1.8675,755489,75.96,103.5,0.006800916764,33486.89,1809.02,17.95
2023-12-01,175.1840981,128.0254839,255.9530678,308.742,5.442055484,5.434479032,6.815,5.33,4685.0515,36947.9275,6.774,1.09094,5827400,1256.699639,2.038,714176,71.65,101.33,0.007091192739,33464.17,2027.07,17.95
2024-01-01,173.6640205,143.0654839,229.8153172,309.685,5.43237129,5.426547419,6.6425,5.33,4804.491429,37763.95476,6.614,1.089890476,5843700,1243.489321,1.6825,665569,75.85,103.27,0.006785687628,36286.71,1947.34,17.95
2024-02-01,173.2323324,133.4072414,197.3697427,311.054,5.421555517,5.421078621,6.776,5.33,5011.9615,38720.518,6.56,1.0793,5896900,1263.85497,1.595,664716,78.26,104.16,0.006637638063,39166.19,2054.84,17.95
2024-03-01,179.8155651,112.7622581,177.0225467,312.23,5.424395484,5.425622581,6.82,5.33,5170.5725,39105.52,6.609,1.087019048,5883000,1309.718747,1.688,694820,83.17,104.55,0.00660763843,40369.44,2124.55,17.95
2024-04-01,188.5315562,119.9003333,185.9798608,313.207,5.430295667,5.439976,6.9925,5.33,5112.492727,38401.21727,6.637,1.072390909,5775200,1322.121334,1.6225,734318,81.93,106.22,0.006397379633,38405.66,1973.91,17.95
2024-05-01,182.8789596,91.20129032,203.2115251,313.225,5.454906452,5.460948065,7.06,5.33,5235.225455,39129.39045,6.818,1.081013636,5725200,1300.693544,1.805,787722,76.99,104.67,0.006371334094,38487.9,2070.13,17.95
2024-06-01,186.0419237,86.60066667,209.6395567,313.049,5.453232667,5.444710667,6.9175,5.33,5415.140526,38903.73053,6.827,1.076326316,5731800,1279.039694,2.086,839992,81.54,105.87,0.006215813028,39583.08,2047.69,17.95
