Date,Baron_Growth_Fund,Clifford_Capital_Partners_Investor,Clifford Capital Partners Institutional,Clifford Capital Partners Super Instl,Congress Small Cap Growth Retail,Davenport Equity Opportunities,Davenport Small Cap Focus Fund,Fidelity Select Construction & Housing,Fidelity Select Insurance Port,Hennessy Cornerstone Growth Inst,Kinetics Internet Adv A,Kinetics Internet Adv C,Pzena Mid Cap Value Instl,Pzena Mid Cap Value Investor,Rydex Dow 2x Strategy H,Rydex Dow 2x Strategy C,Rydex Dow 2x Strategy A,ProFunds UltraMid Cap Fund,ProFunds UltraMid Cap Fund,Kinetics Internet No Load
2023-06-01,92.32,16.4,16.56,16.66,33.52,19.69,15.34,96.25,67.04,25.24,42.22,34.67,12.51,12.73,122.32,103.2,122.81,53.05,41.26,46.63
2023-07-01,95.31,17.34,17.5,17.61,34.39,20.94,16.39,101.16,68.14,26.89,43.46,35.68,13.18,13.41,130.03,109.64,130.54,57.09,44.37,48.01
2023-08-01,92.8,16.66,16.83,16.93,34.48,20.16,15.97,98.65,68.23,26.74,45.05,36.96,12.82,13.04,123.9,104.41,124.4,53.42,41.48,49.77
2023-09-01,88.88,16.13,16.28,16.39,31.84,19.55,15.42,90.9,68.31,26.45,44.64,36.62,12.13,12.33,114.73,96.63,115.2,47.57,36.91,49.33
2023-10-01,83.51,15.8,15.96,16.07,29.34,18.73,14.67,85.13,69.97,24.75,49.28,40.41,11.62,11.82,110.99,93.42,111.45,42.22,32.73,54.47
2023-11-01,90.68,17.08,17.26,17.38,30.79,21.05,15.7,94.94,73.96,26.17,50.95,41.77,13.05,13.27,131.22,110.38,131.76,49.24,38.14,56.33
2023-12-01,93.89,17.14,17.26,17.39,33.81,21.94,16.89,105.54,70.66,28.34,52.6,43.02,12.95,13.22,142.78,119.93,143.36,57.34,44.39,58.21
2024-01-01,96.48,17.5,17.69,17.81,32.2,22.43,17.42,104.51,78.82,29.65,54.6,44.72,14.09,14.31,146.08,122.72,146.67,55.23,42.7,60.39
2024-02-01,98.63,17.61,17.8,17.93,34.63,23.75,17.8,114.67,82.41,33.28,65.98,54.02,14.34,14.56,152.34,127.91,152.96,61.45,47.48,72.99
2024-03-01,100.88,18.07,18.27,18.08,35.52,24.91,18.69,121.39,86.23,35.77,71.55,58.56,15.23,15.45,158.04,132.61,158.69,68.04,52.53,79.17
2024-04-01,90.74,17.27,17.46,17.58,33.66,22.81,17.28,111.53,78.83,34.05,64.91,53.1,14.14,14.35,141.75,118.87,142.33,59.55,45.93,71.84
2024-05-01,92.41,18.14,18.35,18.48,36.35,22.97,17.35,114.37,86.62,36.64,70.58,57.71,14.61,14.83,147.97,124,148.58,62.95,48.53,78.13
2024-06-01,92.52,17.49,17.69,17.82,36.61,22.7,16.47,112.1,85.06,34.57,68.66,56.11,14.12,14.32,150.65,126.17,151.27,61.95,47.71,76.02
